approved_symbol,hgnc_id,evidence_count,source_count_percentile,pLI,oe_lof,lof_z,mis_z,omim_summary,gencc_summary,clingen_summary,clinvar,clinical_groups_p,onset_groups_p,syndromic_groups_p,mgi_phenotype,interaction_score,stringdb_interaction_sum_score,stringdb_interaction_normalized_score,stringdb_interaction_string,expression_score,gtex_kidney_medulla,gtex_kidney_cortex,descartes_kidney_tpm,cur_id
PKD2,9009,5,4.274442241194955,1.73e-4,0.32696,4.3628,0.27238,Polycystic kidney disease 2[OMIM:613095]-Autosomal dominant inheritance,"Definitive, Supportive (autosomal dominant polycystic kidney disease[MONDO:0004691]-Autosomal dominant) | Strong, Strong (polycystic kidney disease 2[MONDO:0013131]-Autosomal dominant)",Definitive (autosomal dominant polycystic kidney disease[MONDO:0004691]-AD),P:165; LP:61; VUS:345,OMIM:613095 (cyst_cilio: 0.262 | glomerulopathy: 0.211 | tubulopathy: 0.147 | nephrocalcinosis: 0.132 | complement: 0.107 | cakut: 0.089 | cancer: 0.03),OMIM:613095 (adult: 0.575 | neonatal_or_pediatric: 0.2),OMIM:613095 (syndromic: 0.005),hm (true); ht (true),0.5,3731,0.6477987421383647,"9606.ENSP00000360158:839, 9606.ENSP00000239891:323, 9606.ENSP00000466134:594, 9606.ENSP00000445306:286, 9606.ENSP00000451828:292, 9606.ENSP00000363435:398, 9606.ENSP00000262304:999",0.5,27.1696,15.2634,252.263924008751,cur_309
PKHD1,9016,5,4.365417926231374,0,0.58027,5.2816,-0.98178,"Polycystic kidney disease 4, with or without hepatic disease[OMIM:263200]-Autosomal recessive inheritance","Definitive, Definitive, Supportive (autosomal recessive polycystic kidney disease[MONDO:0009889]-Autosomal recessive) | Supportive (Caroli disease[MONDO:0010913]-Autosomal recessive) | Definitive, Definitive, Strong, Strong (polycystic kidney disease 4[MONDO:0033004]-Autosomal recessive)",Definitive (autosomal recessive polycystic kidney disease[MONDO:0009889]-AR),P:429; LP:512; VUS:975,OMIM:263200 (cyst_cilio: 0.304 | tubulopathy: 0.126 | cakut: 0.125 | nephrocalcinosis: 0.125 | glomerulopathy: 0.091 | complement: 0.071 | cancer: 0.06),OMIM:263200 (antenatal_or_congenital: 0.86 | neonatal_or_pediatric: 0.799 | adult: 0.575),OMIM:263200 (syndromic: 0),hm (true); ht (true),0.5,1574,0.350104821802935,"9606.ENSP00000237596:839, 9606.ENSP00000262304:735",0.5,12.9427,8.80413,196.173973986495,cur_310
PLCE1,17175,5,4.084276218417588,0,0.35315,6.299,1.381,"Nephrotic syndrome, type 3[OMIM:610725]-Autosomal recessive inheritance","Definitive, Strong, Strong (nephrotic syndrome, type 3[MONDO:0012546]-Autosomal recessive) | Supportive (familial idiopathic steroid-resistant nephrotic syndrome[MONDO:0019006]-Autosomal dominant)",NULL,P:27; LP:16; VUS:248,OMIM:610725 (glomerulopathy: 0.368 | cyst_cilio: 0.134 | cakut: 0.056 | cancer: 0.05 | tubulopathy: 0.049 | complement: 0.036 | nephrocalcinosis: 0.028),OMIM:610725 (neonatal_or_pediatric: 0.865),NULL,hm (false); ht (false),0.5,1129,0.26834381551362685,"9606.ENSP00000368190:331, 9606.ENSP00000256078:506, 9606.ENSP00000269305:292",0.5,1.81282,5.29528,78.0172624266363,cur_311
PLVAP,13635,2,0.9277426292329076,2e-6,0.59994,1.658,0.54901,"Diarrhea 10, protein-losing enteropathy type[OMIM:618183]-Autosomal recessive inheritance","Supportive (congenital diarrhea 7 with exudative enteropathy[MONDO:0014375]-Autosomal recessive) | Strong, Strong, Moderate (diarrhea 10, protein-losing enteropathy type[MONDO:0032586]-Autosomal recessive)",NULL,P:4; LP:2; VUS:59,OMIM:618183 (tubulopathy: 0.112 | nephrocalcinosis: 0.076 | cakut: 0.06 | cyst_cilio: 0.042 | glomerulopathy: 0.007),OMIM:618183 (neonatal_or_pediatric: 0.134),OMIM:618183 (syndromic: 0.009 | skeletal: 0.027),hm (true); ht (false),0,165,0.018867924528301886,9606.ENSP00000231509:165,0.5,181.764,103.74,90.8502331363242,cur_312
PMM2,9115,5,3.7652220598155486,0,1.4139,-1.5128,-1.3872,"Congenital disorder of glycosylation, type Ia[OMIM:212065]-Autosomal recessive inheritance","Definitive (congenital disorder of glycosylation type I[MONDO:0005500]-Autosomal recessive) | Definitive, Strong, Supportive (PMM2-congenital disorder of glycosylation[MONDO:0008907]-Autosomal recessive) | Definitive (SRD5A3-congenital disorder of glycosylation[MONDO:0012885]-Autosomal recessive)",NULL,P:98; LP:97; VUS:190,OMIM:212065 (glomerulopathy: 0.129 | cyst_cilio: 0.092 | cakut: 0.052 | tubulopathy: 0.049 | nephrocalcinosis: 0.042 | complement: 0.036 | cancer: 0.03),OMIM:212065 (antenatal_or_congenital: 0.821 | neonatal_or_pediatric: 0.799),OMIM:212065 (syndromic: 0.148 | growth: 0.171 | skeletal: 0.083 | neurologic: 0.241),hm (false); ht (true),0,163,0.008385744234800839,9606.ENSP00000357283:163,0.5,5.99731,5.37999,32.610488867261,cur_313
PODXL,9171,4,2.692557370152453,0.001033,0.39369,2.6863,0.67246,NULL,Supportive (young-onset Parkinson disease[MONDO:0017279]-Autosomal recessive) | Supportive (atypical juvenile parkinsonism[MONDO:0018321]-Autosomal recessive),NULL,P:2; LP:1; VUS:57,NULL,NULL,NULL,hm (true); ht (false),0.5,2393,0.4716981132075472,"9606.ENSP00000256078:195, 9606.ENSP00000228606:292, 9606.ENSP00000368190:303, 9606.ENSP00000356587:286, 9606.ENSP00000377789:165, 9606.ENSP00000262613:858, 9606.ENSP00000264634:294",0.5,73.7343,161.507,89.1918777085063,cur_314
PRKCSH,9411,5,3.4468203087207274,NULL,NULL,NULL,NULL,Polycystic liver disease 1[OMIM:174050]-Autosomal dominant inheritance,"Definitive, Definitive, Strong, Strong, Supportive (polycystic liver disease 1[MONDO:0008265]-Autosomal dominant)",Definitive (polycystic liver disease 1[MONDO:0008265]-AD),P:17; LP:12; VUS:103,OMIM:174050 (cyst_cilio: 0.092 | cakut: 0.044 | cancer: 0.03 | glomerulopathy: 0.007 | tubulopathy: 0.007),OMIM:174050 (adult: 0.218),OMIM:174050 (syndromic: 0.001 | skeletal: 0.001 | neurologic: 0.001),hm (false); ht (false),0.5,4409,0.70020964360587,"9606.ENSP00000317469:169, 9606.ENSP00000370719:165, 9606.ENSP00000414398:231, 9606.ENSP00000264382:397, 9606.ENSP00000269305:163, 9606.ENSP00000216911:306, 9606.ENSP00000340466:999, 9606.ENSP00000219476:341, 9606.ENSP00000445175:224, 9606.ENSP00000322323:499, 9606.ENSP00000362413:321, 9606.ENSP00000237596:594",0.5,64.1168,61.5681,154.445672015271,cur_315
PTEN,9588,2,1.2668352405768404,0.25651,0.24093,3.2044,3.4883,"{Glioma susceptibility 2}[OMIM:613028]-Autosomal dominant inheritance | {Meningioma}[OMIM:607174]-Autosomal dominant inheritance | Cowden syndrome 1[OMIM:158350]-Autosomal dominant inheritance | Lhermitte-Duclos disease[OMIM:158350]-Autosomal dominant inheritance | Prostate cancer, somatic[OMIM:176807]-NA | Macrocephaly/autism syndrome[OMIM:605309]-Autosomal dominant inheritance","Moderate (leiomyosarcoma[MONDO:0005058]-Autosomal recessive) | Moderate (renal cell carcinoma[MONDO:0005086]-Autosomal dominant) | Supportive (Bannayan-Riley-Ruvalcaba syndrome[MONDO:0007924]-Autosomal dominant) | Definitive, Definitive, Strong, Strong, Moderate, Moderate (Cowden syndrome 1[MONDO:0008021]-Autosomal dominant) | Definitive (Proteus syndrome[MONDO:0008318]-Autosomal dominant) | Definitive (Proteus syndrome[MONDO:0008318]-Somatic mosaicism) | Definitive, Strong, Strong, Supportive (macrocephaly-autism syndrome[MONDO:0011537]-Autosomal dominant) | Limited (glioma susceptibility 2[MONDO:0013092]-Autosomal dominant) | Supportive (Cowden disease[MONDO:0016063]-Autosomal dominant) | Supportive (Proteus-like syndrome[MONDO:0017571]-Autosomal dominant) | Definitive (PTEN hamartoma tumor syndrome[MONDO:0017623]-Autosomal dominant) | Supportive (activated PI3K-delta syndrome[MONDO:0018338]-Autosomal dominant) | Supportive (Lhermitte-Duclos disease[MONDO:0019002]-Autosomal dominant)",Definitive (PTEN hamartoma tumor syndrome[MONDO:0017623]-AD),P:643; LP:231; VUS:1295,NULL,OMIM:158350 (adult: 0.218); OMIM:605309 (neonatal_or_pediatric: 0.402); OMIM:607174 (adult: 0.218); OMIM:613028 (adult: 0.035),OMIM:158350 (syndromic: 0.103 | skeletal: 0.089 | neurologic: 0.141); OMIM:605309 (syndromic: 0.102 | growth: 0.061 | skeletal: 0.026 | neurologic: 0.115); OMIM:607174 (syndromic: 0 | neurologic: 0.001); OMIM:613028 (syndromic: 0 | neurologic: 0.001),hm (false); ht (false),1,9509,0.8909853249475891,"9606.ENSP00000362680:226, 9606.ENSP00000346151:958, 9606.ENSP00000276297:292, 9606.ENSP00000324856:807, 9606.ENSP00000478927:292, 9606.ENSP00000262613:920, 9606.ENSP00000340913:307, 9606.ENSP00000384092:414, 9606.ENSP00000357283:292, 9606.ENSP00000401678:387, 9606.ENSP00000330875:167, 9606.ENSP00000380432:292, 9606.ENSP00000417132:457, 9606.ENSP00000269305:615, 9606.ENSP00000290167:173, 9606.ENSP00000363435:292, 9606.ENSP00000451828:560, 9606.ENSP00000364979:269, 9606.ENSP00000362413:329, 9606.ENSP00000339191:838, 9606.ENSP00000297261:313, 9606.ENSP00000287820:309",0.5,14.5515,9.7955,214.210421741742,cur_316
PTH,9606,4,2.678276804468202,0.012093,0.73523,0.49561,0.54862,"Hypoparathyroidism, familial isolated 1[OMIM:146200]-Autosomal dominant inheritance | Hypoparathyroidism, familial isolated 1[OMIM:146200]-Autosomal recessive inheritance","Strong (hypoparathyroidism, familial isolated 1[MONDO:0007796]-Autosomal recessive) | Supportive (familial isolated hypoparathyroidism due to impaired PTH secretion[MONDO:0016000]-Autosomal dominant)",NULL,P:3; LP:3; VUS:14,OMIM:146200 (nephrocalcinosis: 0.174 | tubulopathy: 0.126 | glomerulopathy: 0.018 | cancer: 0.01 | cakut: 0.008 | cyst_cilio: 0.003),OMIM:146200 (neonatal_or_pediatric: 0.402),OMIM:146200 (syndromic: 0.003 | skeletal: 0.003 | neurologic: 0.006),hm (false); ht (false),0,NULL,NULL,NULL,0,0,0,0.547891903613714,cur_317
PTH1R,9608,4,2.3856004761315095,NULL,NULL,NULL,NULL,"Metaphyseal chondrodysplasia, Murk Jansen type[OMIM:156400]-Autosomal dominant inheritance | Eiken syndrome[OMIM:600002]-Autosomal recessive inheritance | Failure of tooth eruption, primary[OMIM:125350]-Autosomal dominant inheritance | Chondrodysplasia, Blomstrand type[OMIM:215045]-Autosomal recessive inheritance","Definitive, Supportive (primary failure of tooth eruption[MONDO:0007434]-Autosomal dominant) | Definitive, Supportive (metaphyseal chondrodysplasia, Jansen type[MONDO:0007982]-Autosomal dominant) | Definitive, Strong, Supportive (chondrodysplasia Blomstrand type[MONDO:0008970]-Autosomal recessive) | Limited, Supportive (Eiken syndrome[MONDO:0010803]-Autosomal recessive)",NULL,P:16; LP:4; VUS:131,OMIM:156400 (nephrocalcinosis: 0.174 | tubulopathy: 0.126 | glomerulopathy: 0.018 | cancer: 0.01 | cakut: 0.008 | cyst_cilio: 0.003),OMIM:215045 (antenatal_or_congenital: 0.038),OMIM:125350 (syndromic: 0.002); OMIM:156400 (syndromic: 0.025 | growth: 0.017 | skeletal: 0.075 | neurologic: 0.003); OMIM:215045 (syndromic: 0.022 | skeletal: 0.055); OMIM:600002 (syndromic: 0.063 | growth: 0.276 | skeletal: 0.027 | neurologic: 0.061),hm (false); ht (false),0,NULL,NULL,NULL,0.5,59.9768,244.669,55.0684735351941,cur_318
PTPRO,9678,5,3.684297739245931,1.2e-5,0.32903,4.9672,1.3043,"Nephrotic syndrome, type 6[OMIM:614196]-Autosomal recessive inheritance","Limited (nephrotic syndrome, type 6[MONDO:0013619]-Autosomal recessive) | Supportive (familial idiopathic steroid-resistant nephrotic syndrome[MONDO:0019006]-Autosomal dominant)",NULL,P:4; LP:2; VUS:65,OMIM:614196 (glomerulopathy: 0.361 | cyst_cilio: 0.155 | tubulopathy: 0.063 | cakut: 0.056 | cancer: 0.05 | nephrocalcinosis: 0.042 | complement: 0.036),OMIM:614196 (neonatal_or_pediatric: 0.2),NULL,hm (true); ht (false),0,584,0.14675052410901468,"9606.ENSP00000365891:161, 9606.ENSP00000414398:199, 9606.ENSP00000317272:224",0.5,1.8649,15.6367,209.41839996899,cur_319
RCAN1,3040,2,0.9898192597529272,0.016675,0.4686,1.4387,1.0171,NULL,NULL,NULL,P:0; LP:0; VUS:6,NULL,NULL,NULL,hm (false); ht (false),0,NULL,NULL,NULL,0.5,31.0163,22.2527,11.0967468201632,cur_320
REN,9958,5,4.763291060860141,0,0.61362,1.7102,0.79714,"Renal tubular dysgenesis[OMIM:267430]-Autosomal recessive inheritance | Tubulointerstitial kidney disease, autosomal dominant, 4[OMIM:613092]-Autosomal dominant inheritance","Definitive, Supportive (renal tubular dysgenesis of genetic origin[MONDO:0009970]-Autosomal recessive) | Definitive, Definitive, Supportive (familial juvenile hyperuricemic nephropathy type 2[MONDO:0013128]-Autosomal dominant)",Definitive (renal tubular dysgenesis of genetic origin[MONDO:0009970]-AR) | Definitive (familial juvenile hyperuricemic nephropathy type 2[MONDO:0013128]-AD),P:9; LP:8; VUS:53,OMIM:267430 (complement: 0.143 | cakut: 0.016 | glomerulopathy: 0.007 | cyst_cilio: 0.003); OMIM:613092 (glomerulopathy: 0.149 | cyst_cilio: 0.136 | cakut: 0.125 | nephrocalcinosis: 0.083 | tubulopathy: 0.063 | complement: 0.036 | cancer: 0.03),NULL,OMIM:267430 (syndromic: 0.014 | skeletal: 0.05 | neurologic: 0.029),hm (true); ht (true),0.5,1806,0.3836477987421384,"9606.ENSP00000369442:297, 9606.ENSP00000355627:961, 9606.ENSP00000264414:381, 9606.ENSP00000406229:167",0.5,7.603269999999999,48.2006,20.6028902340384,cur_321
RET,9967,5,4.003664882199977,1,0.039068,6.3712,0.95512,"{Hirschsprung disease, susceptibility to, 1}[OMIM:142623]-Autosomal dominant inheritance | Multiple endocrine neoplasia IIA[OMIM:171400]-Autosomal dominant inheritance | {Hirschsprung disease, protection against}[OMIM:142623]-Autosomal dominant inheritance | Medullary thyroid carcinoma[OMIM:155240]-Autosomal dominant inheritance | Pheochromocytoma[OMIM:171300]-Autosomal dominant inheritance | Multiple endocrine neoplasia IIB[OMIM:162300]-Autosomal dominant inheritance","Supportive (familial medullary thyroid carcinoma[MONDO:0007958]-Autosomal dominant) | Definitive, Definitive, Supportive (multiple endocrine neoplasia type 2B[MONDO:0008082]-Autosomal dominant) | Definitive, Definitive, Supportive (multiple endocrine neoplasia type 2A[MONDO:0008234]-Autosomal dominant) | Supportive (bilateral renal agenesis[MONDO:0015986]-Autosomal recessive) | Supportive (Hirschsprung disease[MONDO:0018309]-Autosomal dominant) | Supportive (renal agenesis, unilateral[MONDO:0019636]-Autosomal dominant) | Supportive (Haddad syndrome[MONDO:0020493]-Autosomal dominant) | Limited (renal hypodysplasia/aplasia 1[MONDO:0024519]-Autosomal recessive)",Definitive (multiple endocrine neoplasia type 2B[MONDO:0008082]-AD) | Definitive (multiple endocrine neoplasia type 2A[MONDO:0008234]-AD),P:99; LP:43; VUS:1492,OMIM:171300 (cancer: 0.04 | cakut: 0.008 | cyst_cilio: 0.005),NULL,OMIM:142623 (syndromic: 0.001 | neurologic: 0.001); OMIM:162300 (syndromic: 0.058 | growth: 0.018 | skeletal: 0.072 | neurologic: 0.053); OMIM:171300 (syndromic: 0.001 | neurologic: 0.001); OMIM:171400 (syndromic: 0.002 | neurologic: 0.003),hm (true); ht (true),0.5,6296,0.7966457023060797,"9606.ENSP00000362680:820, 9606.ENSP00000409007:999, 9606.ENSP00000245907:398, 9606.ENSP00000347591:999, 9606.ENSP00000265171:260, 9606.ENSP00000215832:386, 9606.ENSP00000380321:311, 9606.ENSP00000393312:210, 9606.ENSP00000355396:183, 9606.ENSP00000366563:499, 9606.ENSP00000180166:319, 9606.ENSP00000264170:189, 9606.ENSP00000269601:329, 9606.ENSP00000264664:231, 9606.ENSP00000369497:163",0,0.652675,0.576294,7.91366451623509,cur_322
RMND1,21176,5,2.999736393682547,NULL,NULL,NULL,NULL,Combined oxidative phosphorylation deficiency 11[OMIM:614922]-Autosomal recessive inheritance,"Strong, Moderate, Supportive (combined oxidative phosphorylation defect type 11[MONDO:0013969]-Autosomal recessive) | Definitive (mitochondrial disease[MONDO:0044970]-Autosomal recessive)",Definitive (mitochondrial disease[MONDO:0044970]-AR),P:24; LP:9; VUS:73,OMIM:614922 (cakut: 0.234 | cyst_cilio: 0.22 | nephrocalcinosis: 0.132 | tubulopathy: 0.112 | glomerulopathy: 0.095 | complement: 0.071 | cancer: 0.05),OMIM:614922 (antenatal_or_congenital: 0.821),OMIM:614922 (syndromic: 0.075 | neurologic: 0.157),hm (NA); ht (NA),0,NULL,NULL,NULL,0.5,12.4487,13.1674,46.0082287596545,cur_323
ROBO1,10249,4,2.2004048867915813,0,0.46,4.7242,1.0722,"Pituitary hormone deficiency, combined or isolated, 8[OMIM:620303]-Autosomal dominant inheritance | Neurooculorenal syndrome[OMIM:620305]-Autosomal recessive inheritance | ?Nystagmus 8, congenital, autosomal recessive[OMIM:257400]-Autosomal recessive inheritance",Supportive (pituitary stalk interruption syndrome[MONDO:0019828]-Autosomal dominant),NULL,P:8; LP:14; VUS:137,OMIM:620305 (cyst_cilio: 0.163 | glomerulopathy: 0.135 | cakut: 0.105 | tubulopathy: 0.049 | complement: 0.036 | nephrocalcinosis: 0.021 | cancer: 0.02),OMIM:620305 (antenatal_or_congenital: 0.851),OMIM:620303 (syndromic: 0.014 | growth: 0.25 | neurologic: 0.001); OMIM:620305 (syndromic: 0.076 | growth: 0.034 | skeletal: 0.029 | neurologic: 0.13),hm (true); ht (false),0.5,2948,0.5534591194968553,"9606.ENSP00000390436:190, 9606.ENSP00000256078:163, 9606.ENSP00000347198:968, 9606.ENSP00000417335:628, 9606.ENSP00000422591:999",0.5,2.76123,2.07368,680.329262738732,cur_324
ROBO2,10250,5,3.5616229997767537,NULL,NULL,NULL,NULL,Vesicoureteral reflux 2[OMIM:610878]-Autosomal dominant inheritance,Strong (vesicoureteral reflux 2[MONDO:0012573]-Autosomal dominant) | Supportive (familial vesicoureteral reflux[MONDO:0017329]-Autosomal dominant),NULL,P:0; LP:0; VUS:163,OMIM:610878 (cakut: 0.153 | cancer: 0.05 | cyst_cilio: 0.045 | glomerulopathy: 0.007 | tubulopathy: 0.007),NULL,NULL,hm (true); ht (false),0.5,3062,0.5681341719077568,"9606.ENSP00000368190:388, 9606.ENSP00000422591:998, 9606.ENSP00000352138:349, 9606.ENSP00000420321:628, 9606.ENSP00000347198:388, 9606.ENSP00000406229:311",1,0.176421,0.5142100000000001,2024.01449669115,cur_325
ROR2,10257,4,2.2134745568393575,1.24e-4,0.35686,3.7328,0.14325,"Brachydactyly, type B1[OMIM:113000]-Autosomal dominant inheritance | Robinow syndrome, autosomal recessive[OMIM:268310]-Autosomal recessive inheritance","Definitive (brachydactyly type B1[MONDO:0007220]-Autosomal dominant) | Definitive, Supportive (autosomal recessive Robinow syndrome[MONDO:0009999]-Autosomal recessive) | Definitive (autosomal dominant Robinow syndrome 1[MONDO:0024455]-Autosomal dominant)",NULL,P:31; LP:20; VUS:229,OMIM:268310 (nephrocalcinosis: 0.306 | tubulopathy: 0.259 | cakut: 0.097 | glomerulopathy: 0.031 | cancer: 0.03 | cyst_cilio: 0.021),OMIM:268310 (antenatal_or_congenital: 0.821),OMIM:113000 (syndromic: 0.01 | skeletal: 0.036); OMIM:268310 (syndromic: 0.169 | growth: 0.25 | skeletal: 0.216 | neurologic: 0.091),hm (false); ht (false),0.5,1790,0.37735849056603776,"9606.ENSP00000264634:995, 9606.ENSP00000360154:163, 9606.ENSP00000290167:284, 9606.ENSP00000256646:163, 9606.ENSP00000256078:185",0.5,1.52013,0.877391,450.709664166103,cur_326
RPGRIP1L,29168,5,4.796232323552032,NULL,NULL,NULL,NULL,Joubert syndrome 7[OMIM:611560]-Autosomal recessive inheritance | Meckel syndrome 5[OMIM:611561]-Autosomal recessive inheritance | ?COACH syndrome 3[OMIM:619113]-Autosomal recessive inheritance,"Supportive (COACH syndrome 1[MONDO:0008996]-Autosomal recessive) | Supportive (Joubert syndrome with renal defect[MONDO:0012308]-Autosomal recessive) | Definitive (Meckel syndrome, type 5[MONDO:0012695]-Autosomal recessive) | Supportive (Meckel syndrome[MONDO:0018921]-Autosomal recessive)",NULL,P:152; LP:68; VUS:570,OMIM:611560 (cyst_cilio: 0.315 | glomerulopathy: 0.135 | cakut: 0.085 | cancer: 0.05 | tubulopathy: 0.049 | complement: 0.036 | nephrocalcinosis: 0.021); OMIM:611561 (cyst_cilio: 0.092 | cakut: 0.044 | cancer: 0.03 | glomerulopathy: 0.007 | tubulopathy: 0.007); OMIM:619113 (cyst_cilio: 0.333 | glomerulopathy: 0.239 | tubulopathy: 0.161 | nephrocalcinosis: 0.132 | complement: 0.107 | cakut: 0.089 | cancer: 0.02),OMIM:611561 (antenatal_or_congenital: 0.821); OMIM:619113 (neonatal_or_pediatric: 0.402),OMIM:611560 (syndromic: 0.07 | skeletal: 0.052 | neurologic: 0.116); OMIM:611561 (syndromic: 0.01 | skeletal: 0.011 | neurologic: 0.001); OMIM:619113 (syndromic: 0.038 | neurologic: 0.08),hm (true); ht (false),0,NULL,NULL,NULL,0.5,1.1672,0.7283350000000001,42.5329652430518,cur_327
RRAGD,19903,2,1.6815963123916773,0.81991,0.13865,3.0315,2.1976,"Hypomagnesemia 7, renal, with or without dilated cardiomyopathy[OMIM:620152]-Autosomal dominant inheritance",Moderate (NA[NA]-Autosomal dominant),NULL,P:5; LP:0; VUS:10,OMIM:620152 (nephrocalcinosis: 0.25 | tubulopathy: 0.238 | cyst_cilio: 0.026 | glomerulopathy: 0.022 | cancer: 0.01 | cakut: 0.008),OMIM:620152 (neonatal_or_pediatric: 0.865 | adult: 0.049),OMIM:620152 (syndromic: 0.02 | neurologic: 0.041),hm (NA); ht (NA),0.5,1466,0.3312368972746331,"9606.ENSP00000234396:499, 9606.ENSP00000219476:458, 9606.ENSP00000285071:292, 9606.ENSP00000451828:217",0.5,19.7675,13.8791,22.2527698090269,cur_328
RRM2B,17296,4,3.079135514125027,0.002357,0.38717,2.5814,1.2056,"Mitochondrial DNA depletion syndrome 8B (MNGIE type)[OMIM:612075]-Autosomal recessive inheritance | Mitochondrial DNA depletion syndrome 8A (encephalomyopathic type with renal tubulopathy)[OMIM:612075]-Autosomal recessive inheritance | Rod-cone dystrophy, sensorineural deafness, and Fanconi-type renal dysfunction[OMIM:268315]-Autosomal recessive inheritance | Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant 5[OMIM:613077]-Autosomal dominant inheritance",Supportive (autosomal dominant progressive external ophthalmoplegia[MONDO:0008003]-Autosomal dominant) | Supportive (Kearns-Sayre syndrome[MONDO:0010787]-Autosomal recessive) | Supportive (mitochondrial DNA depletion syndrome 8a[MONDO:0012792]-Autosomal recessive) | Supportive (mitochondrial neurogastrointestinal encephalomyopathy[MONDO:0017575]-Autosomal recessive) | Supportive (adult-onset chronic progressive external ophthalmoplegia with mitochondrial myopathy[MONDO:0018002]-Autosomal dominant),NULL,P:18; LP:16; VUS:117,OMIM:268315 (glomerulopathy: 0.131 | cyst_cilio: 0.126 | tubulopathy: 0.056 | cakut: 0.036 | complement: 0.036 | nephrocalcinosis: 0.028 | cancer: 0.02); OMIM:612075 (nephrocalcinosis: 0.042 | tubulopathy: 0.042 | glomerulopathy: 0.013),OMIM:268315 (neonatal_or_pediatric: 0.262); OMIM:612075 (antenatal_or_congenital: 0.821 | neonatal_or_pediatric: 0.134); OMIM:613077 (adult: 0.575),OMIM:268315 (syndromic: 0.025 | growth: 0.25 | skeletal: 0.005 | neurologic: 0.02); OMIM:612075 (syndromic: 0.054 | growth: 0.184 | neurologic: 0.093); OMIM:613077 (syndromic: 0.03 | neurologic: 0.064),hm (true); ht (false),0.5,1085,0.25157232704402516,"9606.ENSP00000269305:888, 9606.ENSP00000216911:197",0.5,11.4111,7.07331,17.4032231879819,cur_329
SALL1,10524,5,4.528473335105979,0.99971,0.062296,4.9235,0.72174,Townes-Brocks syndrome 1[OMIM:107480]-Autosomal dominant inheritance | Townes-Brocks branchiootorenal-like syndrome[OMIM:107480]-Autosomal dominant inheritance,"Supportive (Townes-Brocks syndrome[MONDO:0007142]-Autosomal dominant) | Definitive, Definitive, Strong (Townes-Brocks syndrome 1[MONDO:0054581]-Autosomal dominant)",NULL,P:55; LP:13; VUS:162,OMIM:107480 (cakut: 0.262 | cyst_cilio: 0.131 | tubulopathy: 0.112 | nephrocalcinosis: 0.111 | glomerulopathy: 0.089 | complement: 0.071 | cancer: 0.06),OMIM:107480 (antenatal_or_congenital: 0.821),OMIM:107480 (syndromic: 0.07 | growth: 0.046 | skeletal: 0.064 | neurologic: 0.128),hm (true); ht (true),0.5,1524,0.34591194968553457,"9606.ENSP00000326649:394, 9606.ENSP00000231509:165, 9606.ENSP00000217086:610, 9606.ENSP00000482245:190, 9606.ENSP00000484803:165",0.5,50.7803,15.8897,114.39216349363,cur_330
SALL4,15924,4,2.4201943137339605,0.99997,0,5.0361,1.075,?IVIC syndrome[OMIM:147750]-Autosomal dominant inheritance | Duane-radial ray syndrome[OMIM:607323]-Autosomal dominant inheritance,"Supportive (Duane retraction syndrome[MONDO:0007473]-Autosomal dominant) | Supportive (IVIC syndrome[MONDO:0007836]-Autosomal dominant) | Definitive, Definitive, Strong (Duane-radial ray syndrome[MONDO:0011812]-Autosomal dominant)",NULL,P:32; LP:7; VUS:107,OMIM:607323 (cakut: 0.31 | cancer: 0.17 | cyst_cilio: 0.068 | glomerulopathy: 0.013 | nephrocalcinosis: 0.007 | tubulopathy: 0.007),OMIM:147750 (antenatal_or_congenital: 0.821); OMIM:607323 (antenatal_or_congenital: 0.821),OMIM:147750 (syndromic: 0.02 | skeletal: 0.072); OMIM:607323 (syndromic: 0.028 | skeletal: 0.06 | neurologic: 0.006),hm (false); ht (true),0.5,2493,0.48846960167714887,"9606.ENSP00000484803:800, 9606.ENSP00000368253:781, 9606.ENSP00000227507:302, 9606.ENSP00000251020:610",0,1.08797,0.24968200000000002,7.10238554686583,cur_331
SARS2,17697,4,2.52803624489665,NULL,NULL,NULL,NULL,"Hyperuricemia, pulmonary hypertension, renal failure, and alkalosis[OMIM:613845]-Autosomal recessive inheritance","Strong, Limited, Supportive (hyperuricemia-pulmonary hypertension-renal failure-alkalosis syndrome[MONDO:0013458]-Autosomal recessive) | Moderate (mitochondrial disease[MONDO:0044970]-Autosomal recessive)",Moderate (mitochondrial disease[MONDO:0044970]-AR),P:4; LP:3; VUS:103,OMIM:613845 (tubulopathy: 0.154 | nephrocalcinosis: 0.118 | cyst_cilio: 0.068 | complement: 0.036 | glomerulopathy: 0.031 | cakut: 0.024),OMIM:613845 (neonatal_or_pediatric: 0.402),OMIM:613845 (syndromic: 0.033 | growth: 0.171 | neurologic: 0.051),hm (NA); ht (NA),0.5,1424,0.3249475890985325,"9606.ENSP00000356319:292, 9606.ENSP00000380321:292, 9606.ENSP00000269305:305, 9606.ENSP00000261584:343, 9606.ENSP00000246868:192",0.5,22.3487,17.5368,26.1506623046936,cur_332
